city,city_ascii,state_id,state_name,county_name,county_fips,zip,lat,lng,population,source,id
Tampa,Tampa,FL,Florida,Hillsborough,12057,33629 33621 33620 33647 33609 33606 33619 33616 33613 33611 33617 33614 33610 33612 33603 33637 33605 33604 33607 33602 33601 33608 33622 33623 33630 33631 33633 33646 33650 33655 33660 33661 33662 33663 33664 33672 33673 33674 33675 33677 33679 33680 33681 33682 33684 33685 33686 33687 33688 33689 33694,27.9475216,-82.4584279,335709,polygon,1840015982
Aurora,Aurora,CO,Colorado,Arapahoe,8005,80247 80137 80045 80018 80019 80016 80017 80014 80015 80012 80013 80010 80011 80040 80041 80042 80044 80046 80047,39.7294319,-104.8319195,325078,polygon,1840018794
Santa Ana,Santa Ana,CA,California,Orange,6059,92703 92701 92705 92704 92707 92706 92702 92712 92735 92799,33.7455731,-117.8678338,324528,polygon,1840021964
Saint Louis,Saint Louis,MO,Missouri,St. Louis (city),29510,63110 63111 63112 63113 63115 63116 63118 63120 63139 63107 63106 63104 63103 63102 63101 63109 63108 63155 63137 63143 63147 63145 63150 63151 63156 63157 63158 63160 63163 63164 63166 63167 63169 63171 63177 63178 63179 63180 63182 63188 63195 63197 63199,38.6272733,-90.1978889,319294,polygon,1840001651
Pittsburgh,Pittsburgh,PA,Pennsylvania,Allegheny,42003,15216 15217 15214 15212 15210 15211 15218 15219 15290 15232 15260 15233 15205 15204 15207 15206 15201 15203 15208 15213 15234 15222 15221 15220 15226 15224 15120 15230 15231 15240 15242 15244 15250 15251 15252 15253 15254 15255 15257 15258 15259 15261 15262 15264 15265 15267 15268 15270 15272 15274 15275 15276 15277 15278 15279 15281 15282 15283 15286 15289 15295,40.4406248,-79.9958864,305704,polygon,1840001254
Corpus Christi,Corpus Christi,TX,Texas,Nueces,48355,78373 78408 78409 78406 78407 78404 78405 78402 78401 78419 78418 78415 78414 78417 78416 78411 78410 78413 78412 78347 78403 78426 78427 78460 78463 78465 78466 78467 78468 78469 78472 78480,27.8005828,-97.396381,305215,polygon,1840019718
Riverside,Riverside,CA,California,Riverside,6065,92508 92503 92501 92505 92504 92507 92506 92502 92513 92514 92516 92517 92521 92522,33.9533487,-117.3961564,303871,polygon,1840020551
Cincinnati,Cincinnati,OH,Ohio,Hamilton,39061,45219 45213 45212 45211 45217 45216 45214 45233 45226 45227 45224 45225 45220 45237 45229 45232 45230 45204 45205 45206 45207 45202 45203 45208 45209 45223 45239 45238 45201 45221 45222 45234 45235 45250 45253 45254 45258 45262 45263 45264 45267 45268 45269 45270 45271 45273 45274 45275 45277 45296 45298 45299 45999,39.1146631,-84.52968641,296943,polygon,1840003814
Lexington,Lexington,KY,Kentucky,Fayette,21067,40504 40506 40508 40509 40505 40507 40502 40503 40513 40517 40511 40510 40516 40515 40514 40512 40522 40523 40524 40526 40533 40536 40544 40546 40550 40555 40574 40575 40576 40577 40578 40579 40580 40581 40582 40583 40588 40591 40598,38.0497996,-84.4585485,295803,polygon,1840015211
Anchorage,Anchorage,AK,Alaska,Anchorage,2020,99518 99515 99517 99516 99513 99540 99567 99587 99508 99506 99507 99504 99505 99502 99503 99501 99577 99509 99511 99514 99520 99521 99522 99523 99524 99529 99530 99599,61.2180556,-149.9002778,291826,polygon,1840023385
Stockton,Stockton,CA,California,San Joaquin,6077,95212 95210 95211 95219 95209 95205 95207 95206 95202 95204 95203 95201 95267 95269 95296 95297,37.9577016,-121.2907796,291707,polygon,1840021517
Toledo,Toledo,OH,Ohio,Lucas,39095,43615 43611 43613 43612 43614 43610 43606 43607 43604 43605 43608 43609 43620 43623 43601 43603 43635 43652 43654 43656 43657 43659 43660 43661 43666 43667 43681 43682 43697 43699,41.6639383,-83.555212,287208,polygon,1840000572
Saint Paul,Saint Paul,MN,Minnesota,Ramsey,27123,55114 55117 55116 55119 55130 55101 55155 55102 55103 55106 55107 55104 55105 55108 55133 55144 55145 55146 55164 55165 55170 55172 55175 55188,44.9444101,-93.0932742,285068,polygon,1840008940
Newark,Newark,NJ,New Jersey,Essex,34013,07103 07102 07105 07104 07107 07106 07108 07112 07114 07101 07175 07184 07188 07189 07191 07192 07193 07195 07198 07199,40.735657,-74.1723667,277140,polygon,1840002791
Greensboro,Greensboro,NC,North Carolina,Guilford,37081,27410 27455 27214 27408 27409 27403 27401 27406 27407 27405 27402 27404 27411 27412 27413 27415 27416 27417 27419 27420 27425 27427 27429 27435 27438 27495 27497 27498 27499,36.0726355,-79.7919754,269666,polygon,1840013356
Buffalo,Buffalo,NY,New York,Erie,36029,14208 14209 14202 14203 14201 14206 14207 14204 14220 14222 14218 14211 14210 14213 14212 14215 14214 14216 14205 14231 14233 14240 14241 14260 14263 14264 14265 14267 14269 14270 14272 14273 14276 14280,42.8864468,-78.8783689,261310,polygon,1840000386
Plano,Plano,TX,Texas,Collin,48085,75093 75023 75025 75024 75074 75075 75026 75086,33.0198431,-96.6988856,259841,polygon,1840020662
Lincoln,Lincoln,NE,Nebraska,Lancaster,31109,68528 68524 68526 68520 68521 68522 68516 68510 68512 68506 68507 68504 68505 68502 68503 68508 68501 68509 68529 68542 68544 68583 68588,40.8000011,-96.6669599,258379,polygon,1840009357
Henderson,Henderson,NV,Nevada,Clark,32003,89044 89052 89002 89074 89015 89014 89011 89012 89009 89077 89105 89140,36.0396988,-114.9819368,257729,polygon,1840020361
Fort Wayne,Fort Wayne,IN,Indiana,Allen,18003,46835 46845 46818 46814 46815 46816 46825 46803 46802 46807 46806 46805 46804 46809 46808 46801 46850 46851 46852 46853 46854 46855 46856 46857 46858 46859 46860 46861 46862 46863 46864 46865 46866 46867 46868 46869 46885 46895 46896 46897 46898 46899,41.1306041,-85.1288597,253691,polygon,1840008261
Jersey City,Jersey City,NJ,New Jersey,Hudson,34017,07310 07311 07302 07307 07306 07305 07304 07097 07303 07308 07395 07399,40.7281575,-74.0776417,247597,polygon,1840003600
Saint Petersburg,Saint Petersburg,FL,Florida,Pinellas,12103,33705 33707 33702 33762 33713 33712 33711 33710 33716 33715 33714 33701 33703 33704 33729 33730 33731 33732 33733 33734 33736 33737 33738 33740 33741 33742 33743 33747 33784,27.7708606,-82.6792661,244769,polygon,1840015977
Chula Vista,Chula Vista,CA,California,San Diego,6073,91911 91910 91913 91915 91914 91902 91908 91909 91912 91921,32.6400541,-117.0841955,243916,polygon,1840019350
Norfolk,Norfolk,VA,Virginia,Norfolk (city),51710,23509 23508 23504 23503 23502 23507 23505 23551 23518 23513 23517 23523 23510 23511 23501 23506 23514 23515 23519 23529 23541,36.8468146,-76.2852183,242803,polygon,1840003869
Orlando,Orlando,FL,Florida,Orange,12095,32829 32827 32824 32822 32804 32805 32806 32807 32801 32803 32808 32839 32835 32832 32819 32812 32811 32814 32802 32816 32834 32853 32854 32855 32856 32857 32858 32859 32860 32861 32862 32867 32868 32869 32872 32877 32878 32885 32886 32887 32891 32897,28.5383355,-81.3792365,238300,polygon,1840015099
Chandler,Chandler,AZ,Arizona,Maricopa,4013,85248 85249 85226 85224 85225 85286 85246,33.3061605,-111.8412502,236123,polygon,1840019309
Laredo,Laredo,TX,Texas,Webb,48479,78046 78045 78043 78040 78041 78042,27.506407,-99.5075421,236091,polygon,1840021002
Madison,Madison,WI,Wisconsin,Dane,55025,53706 53704 53705 53703 53726 53792 53719 53718 53715 53714 53717 53716 53711 53713 53701 53707 53708 53725 53744 53774 53777 53778 53779 53782 53783 53784 53785 53786 53788 53789 53790 53791 53793 53794,43.0730517,-89.4012302,233209,polygon,1840002915
Winston-Salem,Winston-Salem,NC,North Carolina,Forsyth,37067,27110 27127 27040 27107 27106 27105 27104 27103 27101 27109 27010 27102 27108 27111 27113 27114 27115 27116 27117 27120 27130 27150 27152 27155 27157 27198 27199,36.0998596,-80.244216,229617,polygon,1840015324
Lubbock,Lubbock,TX,Texas,Lubbock,48303,79404 79407 79423 79424 79416 79412 79410 79414 79411 79406 79401 79403 79415 79413 79402 79408 79409 79430 79452 79453 79457 79464 79490 79491 79493 79499,33.5778631,-101.8551665,229573,polygon,1840020604
Baton Rouge,Baton Rouge,LA,Louisiana,East Baton Rouge,22033,70836 70808 70809 70802 70803 70801 70806 70807 70805 70820 70819 70811 70815 70814 70816 70804 70813 70821 70822 70823 70825 70826 70827 70831 70833 70835 70837 70873 70874 70879 70884 70891 70892 70893 70894 70895 70896 70898,30.4507462,-91.154551,229493,polygon,1840013941
Durham,Durham,NC,North Carolina,Durham,37063,27701 27703 27704 27707 27705 27709 27712 27713 27702 27706 27708 27710 27711 27715 27717 27722,35.9940329,-78.898619,228330,polygon,1840013364
Garland,Garland,TX,Texas,Dallas,48113,75043 75041 75040 75042 75044 75045 75046 75047 75049,32.912624,-96.6388833,226876,polygon,1840020707
Glendale,Glendale,AZ,Arizona,Maricopa,4013,85301 85303 85302 85304 85306 85309 85308 85305 85307 85310 85311 85312 85318,33.5386523,-112.1859866,226721,polygon,1840020563
Reno,Reno,NV,Nevada,Washoe,32031,89521 89523 89439 89503 89502 89501 89506 89509 89508 89519 89512 89504 89505 89507 89513 89515 89520 89533 89555 89557 89570 89595 89599,39.5296329,-119.8138027,225221,polygon,1840020121
Hialeah,Hialeah,FL,Florida,Miami-Dade,12086,33014 33016 33010 33012 33013 33018 33002 33011 33017,25.8575963,-80.2781057,224669,polygon,1840015157
Chesapeake,Chesapeake,VA,Virginia,Chesapeake (city),51550,23325 23324 23323 23322 23321 23320 23326 23327 23328,36.8190369,-76.2749399,222209,polygon,1840003874
Scottsdale,Scottsdale,AZ,Arizona,Maricopa,4013,85259 85258 85251 85250 85257 85255 85254 85266 85262 85260 85252 85261 85267 85271,33.5092103,-111.8990327,217385,polygon,1840021940
North Las Vegas,North Las Vegas,NV,Nevada,Clark,32003,89032 89031 89030 89086 89084 89085 89081 89115 89033 89087,36.1988592,-115.1175013,216961,polygon,1840020363
Irving,Irving,TX,Texas,Dallas,48113,75060 75063 75062 75061 75038 75039 75014 75015 75016 75017,32.8140177,-96.9488945,216290,polygon,1840019438
Fremont,Fremont,CA,California,Alameda,6001,94536 94538 94539 94555 94537,37.5482697,-121.9885719,214089,polygon,1840020292
Irvine,Irvine,CA,California,Orange,6059,92617 92614 92612 92618 92620 92602 92603 92604 92606 92616 92619 92623 92650 92697 92698,33.6694649,-117.8231107,212375,polygon,1840019325
Birmingham,Birmingham,AL,Alabama,Jefferson,1073,35218 35214 35215 35217 35210 35211 35212 35213 35224 35221 35222 35228 35203 35207 35206 35205 35204 35209 35208 35254 35068 35061 35234 35235 35233 35243 35242 35142 35201 35202 35219 35220 35231 35232 35236 35237 35238 35246 35249 35253 35255 35259 35260 35261 35266 35270 35282 35283 35285 35287 35288 35290 35291 35292 35293 35294 35295 35296 35297 35298,33.5206608,-86.80249,212237,polygon,1840013733
Rochester,Rochester,NY,New York,Monroe,36055,14608 14609 14606 14607 14604 14605 14627 14620 14621 14619 14615 14614 14617 14611 14610 14613 14612 14602 14603 14638 14639 14642 14643 14644 14646 14647 14649 14650 14651 14652 14653 14692 14694,43.1547845,-77.6155568,210565,polygon,1840000373
San Bernardino,San Bernardino,CA,California,San Bernardino,6071,92404 92401 92407 92405 92408 92411 92410 92346 92403 92406 92415 92418 92423 92427,34.1083449,-117.2897652,209924,polygon,1840021728
